status2016,cprnr,optag_aar,ADGGRU,kvotient,geobag,Aldop,NAVN,postnr,geoinst,institution,campus,kon,type_optag,ramme_retning_optag,ramme_2016,studienaevn2016,orlov2016,MAT,Niveau_MAT,oprindelse_MAT,DAN,Niveau_DAN,oprindelse_DAN,ENG,NIveau_ENG,oprindelse_ENG,staa,efter_adgeksamen,ECTS,Frafalden,,,,,
Afbrudt,,2015,HTX,9.9,Nordjyll.,19,,9000,Østjylland,"Tradium, Tekniske erhvervsudd. og Teknisk Gymnasiu",Aalborg,Kvinder,bachelor,Medialogi,,,,10,B,indtastet,8,A,indtastet,6.25,B,indtastet,0.5,0 år,30,TRUE,,,,,
Indskrevet,,2015,HTX,11.6,Øst for Storebæl,19,,4000,Øst for Storebælt,Roskilde Tekniske Skole,Kbh.,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,11.33333333,B,portal,7.75,A,portal,10,A,portal,1,0 år,60,FALSE,,,,,
Indskrevet,,2015,"Dispensat, Andet",7.7,Nordjyll.,20,,9000,Østjylland,Silkeborg Gymnasium,Aalborg,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,9,A,portal,6,A,portal,9,A,portal,1,0 år,60,FALSE,,,,,
Indskrevet,,2015,Udenlandsk adg.grundlag,5.6,Øst for Storebæl,22,,04023,Ikke Danmark,Institution ikke oplyst,Kbh.,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,12,B,indtastet,,,,12,B,indtastet,0.08,1 år,5,FALSE,,,,,
Indskrevet,,2015,HF,7.5,Nordjyll.,23,,9400,Nordjylland,VUC&hf Nordjylland,Aalborg,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,8.5,B,portal,10,A,portal,8.5,A,portal,1,0 år,60,FALSE,,,,,
Afbrudt,,2015,Udenlandsk adg.grundlag,,Ikke oplyst,23,,1150-299,Ikke Danmark,Institution ikke angivet,Aalborg,Mænd,bachelor,Medialogi,,,,,,,,,,,,,0.33,0 år,20,TRUE,,,,,
Indskrevet,,2015,HTX,8.2,Øst for Storebæl,21,,4700,Øst for Storebælt,CELF - Center for erhv.rettede udd. Lolland-Falste,Kbh.,Kvinder,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,5.5,A,portal,7.75,A,portal,5,B,portal,1,1 år,60,FALSE,,,,,
Afbrudt,,2015,HF,6.8,Øst for Storebæl,20,,3300,Øst for Storebælt,HF & VUC Nordsjælland,Kbh.,Kvinder,bachelor,Medialogi,,,,5.5,B,portal,8.5,A,portal,5.5,A,portal,0.42,1 år,25,TRUE,,,,,
Indskrevet,,2015,Ny student (påb. 2005 -),3.9,Øst for Storebæl,24,,1553,Fyn og øer,Svendborg Gymnasium og HF,Kbh.,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,9.5,B,portal,5,A,portal,5,A,portal,0.92,4 år,55,FALSE,,,,,
Indskrevet,,2015,Udenlandsk adg.grundlag,7.6,Ikke oplyst,24,,061672,Ikke Danmark,Institution ikke oplyst,Aalborg,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,4.5,B,indtastet,,,,12,B,indtastet,0.08,> 4 år,5,FALSE,,,,,
Indskrevet,,2015,Ny student (påb. 2005 -),9.8,Øst for Storebæl,20,,4900,Øst for Storebælt,Nakskov Gymnasium og HF,Kbh.,Kvinder,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,7,A,portal,9,A,portal,11.33333333,B,portal,1,1 år,60,FALSE,,,,,
Indskrevet,,2015,Udenlandsk adg.grundlag,8.2,Øst for Storebæl,23,,1107,Ikke Danmark,Institution ikke oplyst,Kbh.,Kvinder,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,12,B,indtastet,,,,12,B,indtastet,1,3 år,60,FALSE,,,,,
Indskrevet,,2015,HTX,9.2,Nordjyll.,21,,9220,Sønderjylland,EUC Syd,Aalborg,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,2,B,portal,7,A,portal,9,A,portal,1,1 år,60,FALSE,,,,,
Afbrudt,,2015,Ny student (påb. 2005 -),6.5,Nordjyll.,20,,9210,Østjylland,Skanderborg Gymnasium,Aalborg,Mænd,bachelor,Medialogi,,,,6,B,portal,4.25,A,portal,3.333333333,A,portal,0.08,0 år,5,TRUE,,,,,
Indskrevet,,2015,HTX,9.1,Øst for Storebæl,22,,2630,Øst for Storebælt,Københavns Tekniske Skole,Kbh.,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,9,A,portal,9.75,A,portal,9.666666667,A,portal,1,1 år,60,FALSE,,,,,
Afbrudt,,2015,Matematisk student,6.6,Fyn + Øer,29,,5000,Fyn og øer,Sct. Knuds Gymnasium,Kbh.,Mænd,bachelor,Medialogi,,,,7.6,A,portal,6.25,A,portal,8.5,A,portal,0,> 4 år,0,TRUE,,,,,
Indskrevet,,2015,HF,7,Øst for Storebæl,25,,2860,Øst for Storebælt,Gentofte HF,Kbh.,Kvinder,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,1,7,B,portal,7,A,portal,8.5,B,portal,0.75,4 år,45,FALSE,,,,,
Indskrevet,,2015,Ny student (påb. 2005 -),8.2,Øst for Storebæl,20,,2840,Øst for Storebælt,Nærum Gymnasium,Kbh.,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,5.5,A,portal,5.5,A,portal,10.33333333,A,portal,1,1 år,60,FALSE,,,,,
